strategy,model,latency,top_chunk,score,retrieved
recursive,sbert-all-MiniLM-L6-v2,0.316,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world. You can go u",0.745415509,True
recursive,sbert-e5-small,0.318,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world.",0.8819291,True
recursive,sbert-bge-small,0.327,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world.",0.905715823,True
semantic_paragraph,sbert-all-MiniLM-L6-v2,0.318,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world. You can go u",0.745415509,True
semantic_paragraph,sbert-e5-small,0.319,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world.",0.8819291,True
semantic_paragraph,sbert-bge-small,0.325,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world.",0.905715823,True
semantic_sentence,sbert-all-MiniLM-L6-v2,0.368,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world. You can go u",0.745415509,True
semantic_sentence,sbert-e5-small,0.317,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world.",0.8819291,True
semantic_sentence,sbert-bge-small,0.319,"The Eiffel Tower is a tall, iron tower in Paris, France. It was built by Gustave Eiffel for a big fair in 1889. At first, some people didn't like it because it looked too industrial, but it quickly became very popular. For a long time, it was the tallest man-made structure in the world.",0.905715823,True
recursive,sbert-all-MiniLM-L6-v2,0.318,"Today, the Great Wall is a famous symbol of China and a UNESCO World Heritage site. It shows the incredible effort and skill of the ancient Chinese people. It's one of the most popular tourist attractions in the world.",0.722766,True
recursive,sbert-e5-small,0.315,"The Great Wall of China is a very long wall built in China. It's not just one wall, but many sections built over many years by different Chinese emperors. The main reason it was built was to protect China from invaders from the north. The wall stretches for thousands of miles across mountains, deser",0.890258253,True
recursive,sbert-bge-small,0.318,"The Great Wall of China is a very long wall built in China. It's not just one wall, but many sections built over many years by different Chinese emperors. The main reason it was built was to protect China from invaders from the north.  The wall stretches for thousands of miles across mountains, dese",0.923561096,True
semantic_paragraph,sbert-all-MiniLM-L6-v2,0.316,"Today, the Great Wall is a famous symbol of China and a UNESCO World Heritage site. It shows the incredible effort and skill of the ancient Chinese people. It's one of the most popular tourist attractions in the world.",0.722766,True
semantic_paragraph,sbert-e5-small,0.315,"The Great Wall of China is a very long wall built in China. It's not just one wall, but many sections built over many years by different Chinese emperors. The main reason it was built was to protect China from invaders from the north. The wall stretches for thousands of miles across mountains, deser",0.890258253,True
semantic_paragraph,sbert-bge-small,0.315,"The Great Wall of China is a very long wall built in China. It's not just one wall, but many sections built over many years by different Chinese emperors. The main reason it was built was to protect China from invaders from the north. The wall stretches for thousands of miles across mountains, deser",0.922744334,True
semantic_sentence,sbert-all-MiniLM-L6-v2,0.316,"Today, the Great Wall is a famous symbol of China and a UNESCO World Heritage site. It shows the incredible effort and skill of the ancient Chinese people. It's one of the most popular tourist attractions in the world.",0.72251761,True
semantic_sentence,sbert-e5-small,0.316,"The Great Wall of China is a very long wall built in China. It's not just one wall, but many sections built over many years by different Chinese emperors. The main reason it was built was to protect China from invaders from the north.  The wall stretches for thousands of miles across mountains, dese",0.890258253,True
semantic_sentence,sbert-bge-small,0.314,"The Great Wall of China is a very long wall built in China. It's not just one wall, but many sections built over many years by different Chinese emperors. The main reason it was built was to protect China from invaders from the north. The wall stretches for thousands of miles across mountains, deser",0.923561096,True
